ZipCode,StateCode,PrimaryCity,County
00983,PR,CAROLINA,SOUTHERN
00979,PR,CAROLINA,SOUTHERN
00983,PR,CAROLINA,SOUTHERN
00983,PR,CAROLINA,SOUTHERN
00983,PR,CAROLINA,SOUTHERN
00979,PR,CAROLINA,SOUTHERN
00983,PR,CAROLINA,SOUTHERN
00985,PR,CAROLINA,SOUTHERN
00983,PR,CAROLINA,SOUTHERN
00983,PR,CAROLINA,SOUTHERN
01001,MA,AGAWAM,ATLANTIC
01002,MA,AMHERST,ATLANTIC
01002,MA,AMHERST,ATLANTIC
01002,MA,AMHERST,ATLANTIC
01005,MA,BARRE,ATLANTIC
01007,MA,BELCHERTOWN,ATLANTIC
01008,MA,BLANDFORD,ATLANTIC
01009,MA,BONDSVILLE,ATLANTIC
01010,MA,BRIMFIELD,ATLANTIC
01011,MA,CHESTER,ATLANTIC
01050,MA,HUNTINGTON,ATLANTIC
01012,MA,CHESTERFIELD,ATLANTIC
01020,MA,CHICOPEE,ATLANTIC
01013,MA,CHICOPEE,ATLANTIC
01020,MA,CHICOPEE,ATLANTIC
01020,MA,CHICOPEE,ATLANTIC
01020,MA,CHICOPEE,ATLANTIC
01026,MA,CUMMINGTON,ATLANTIC
01027,MA,EASTHAMPTON,ATLANTIC
01028,MA,EAST LONGMEADOW,ATLANTIC
01029,MA,EAST OTIS,ATLANTIC
01001,MA,AGAWAM,ATLANTIC
01030,MA,FEEDING HILLS,ATLANTIC
01031,MA,GILBERTVILLE,ATLANTIC
01032,MA,GOSHEN,ATLANTIC
01033,MA,GRANBY,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01034,MA,GRANVILLE,ATLANTIC
01002,MA,AMHERST,ATLANTIC
01035,MA,HADLEY,ATLANTIC
01036,MA,HAMPDEN,ATLANTIC
01037,MA,HARDWICK,ATLANTIC
01038,MA,HATFIELD,ATLANTIC
01039,MA,HAYDENVILLE,ATLANTIC
01096,MA,WILLIAMSBURG,ATLANTIC
01040,MA,HOLYOKE,ATLANTIC
01040,MA,HOLYOKE,ATLANTIC
01040,MA,HOLYOKE,ATLANTIC
01050,MA,HUNTINGTON,ATLANTIC
01053,MA,LEEDS,ATLANTIC
01054,MA,LEVERETT,ATLANTIC
01056,MA,LUDLOW,ATLANTIC
01095,MA,WILBRAHAM,ATLANTIC
01057,MA,MONSON,ATLANTIC
01059,MA,NORTH AMHERST,ATLANTIC
01060,MA,NORTHAMPTON,ATLANTIC
01060,MA,NORTHAMPTON,ATLANTIC
01027,MA,EASTHAMPTON,ATLANTIC
01062,MA,FLORENCE,ATLANTIC
01066,MA,NORTH HATFIELD,ATLANTIC
01068,MA,OAKHAM,ATLANTIC
01069,MA,PALMER,ATLANTIC
01026,MA,CUMMINGTON,ATLANTIC
01070,MA,PLAINFIELD,ATLANTIC
01071,MA,RUSSELL,ATLANTIC
01002,MA,AMHERST,ATLANTIC
01072,MA,SHUTESBURY,ATLANTIC
01073,MA,SOUTHAMPTON,ATLANTIC
01074,MA,SOUTH BARRE,ATLANTIC
01075,MA,SOUTH HADLEY,ATLANTIC
01077,MA,SOUTHWICK,ATLANTIC
01079,MA,THORNDIKE,ATLANTIC
01069,MA,PALMER,ATLANTIC
01080,MA,THREE RIVERS,ATLANTIC
01081,MA,WALES,ATLANTIC
01082,MA,WARE,ATLANTIC
01083,MA,WARREN,ATLANTIC
01083,MA,WARREN,ATLANTIC
01012,MA,CHESTERFIELD,ATLANTIC
01085,MA,WESTFIELD,ATLANTIC
01085,MA,WESTFIELD,ATLANTIC
01001,MA,AGAWAM,ATLANTIC
01089,MA,WEST SPRINGFIELD,ATLANTIC
01092,MA,WEST WARREN,ATLANTIC
01093,MA,WHATELY,ATLANTIC
01094,MA,WHEELWRIGHT,ATLANTIC
01095,MA,WILBRAHAM,ATLANTIC
01096,MA,WILLIAMSBURG,ATLANTIC
01071,MA,RUSSELL,ATLANTIC
01098,MA,WORTHINGTON,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01103,MA,SPRINGFIELD,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01028,MA,EAST LONGMEADOW,ATLANTIC
01107,MA,SPRINGFIELD,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01108,MA,SPRINGFIELD,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01115,MA,SPRINGFIELD,ATLANTIC
01106,MA,LONGMEADOW,ATLANTIC
01028,MA,EAST LONGMEADOW,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01028,MA,EAST LONGMEADOW,ATLANTIC
01101,MA,SPRINGFIELD,ATLANTIC
01108,MA,SPRINGFIELD,ATLANTIC
01109,MA,SPRINGFIELD,ATLANTIC
01151,MA,INDIAN ORCHARD,ATLANTIC
01095,MA,WILBRAHAM,ATLANTIC
01201,MA,PITTSFIELD,ATLANTIC
01201,MA,PITTSFIELD,ATLANTIC
01220,MA,ADAMS,ATLANTIC
01222,MA,ASHLEY FALLS,ATLANTIC
01223,MA,BECKET,ATLANTIC
01237,MA,LANESBOROUGH,ATLANTIC
01225,MA,CHESHIRE,ATLANTIC
01201,MA,PITTSFIELD,ATLANTIC
01226,MA,DALTON,ATLANTIC
